#TYPE System.Management.Automation.PSCustomObject
"Status","Uri","Base"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/email-has","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/email-has"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/presse-abo.html","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/presse-abo.html"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/bav","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/bav"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring"
"Error","https://www.huk.de/gs/leipzig/login","https://www.huk.de/gs/leipzig/login"
"Error","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/compliance","https://www.huk.de/gs/leipzig/hukinfo/af/form.html?formname=/sonstige/compliance"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/email-has","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/email-has"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/presse-abo.html","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/presse-abo.html"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/bav","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/bav"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring"
"Error","https://www.huk.de/gs/koeln/login","https://www.huk.de/gs/koeln/login"
"Error","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/compliance","https://www.huk.de/gs/koeln/hukinfo/af/form.html?formname=/sonstige/compliance"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/beschwerdemanagement"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/email-has","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/email-has"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/presse-abo.html","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/presse-abo.html"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/bav","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/bav"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/kontakt/beihilfeabloese"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/ratgeber-berufsstart"
"Error","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring","https://www.huk.de/gs/dresden/hukinfo/af/form.html?formname=/sonstige/buchbestellung-beamtenwirtschaftsring"
"Error","https://www.huk.de/gs/dresden/login","https://www.huk.de/gs/dresden/login"
